                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7691,                 2.8496,                 1.6298,                0.63222,                0.42088,                0.46394,                 0.2344,                 1.7122,                 1.9909,                  1.523,               0.070067,              0.0033259,              0.0033259
                      1,                 1.6227,                  1.585,                 1.4958,                0.81133,                0.60101,                 0.6985,                0.37911,                 1.5937,                 1.5102,                 1.5654,               0.040023,              0.0066153,              0.0066153
                      2,                 1.5841,                  1.434,                 1.4813,                0.81458,                0.71886,                0.78725,                0.42184,                 1.5517,                 1.2484,                 1.4002,              0.0099348,              0.0098607,              0.0098607
                      3,                 1.5848,                 1.3532,                 1.4911,                0.84142,                0.59596,                0.71763,                0.38442,                 1.5925,                 1.3472,                 1.4927,               0.009802,               0.009802,               0.009802
                      4,                 1.5435,                 1.1971,                 1.4593,                0.85435,                0.66161,                0.80549,                0.43054,                 1.5456,                 1.0829,                 1.4475,               0.009802,               0.009802,               0.009802
                      5,                 1.4948,                 1.0932,                 1.4299,                0.81602,                0.75926,                0.83572,                0.45523,                 1.4735,                 1.0876,                 1.3768,               0.009736,               0.009736,               0.009736
                      6,                 1.4761,                 1.0068,                 1.4153,                0.87783,                0.77417,                 0.8692,                0.49492,                 1.4715,                 0.9209,                 1.3823,                0.00967,                0.00967,                0.00967
                      7,                  1.456,                0.96029,                 1.3918,                0.89125,                 0.7864,                0.87235,                 0.4945,                 1.4654,                0.87585,                 1.3617,               0.009604,               0.009604,               0.009604
                      8,                 1.4329,                  0.927,                 1.3776,                0.88314,                0.80151,                0.88343,                0.50014,                 1.4592,                0.85533,                 1.3905,               0.009538,               0.009538,               0.009538
                      9,                 1.4167,                 0.8864,                 1.3718,                0.79846,                0.74916,                0.82689,                0.45648,                  1.515,                0.94092,                 1.4029,               0.009472,               0.009472,               0.009472
                     10,                 1.3945,                0.85192,                 1.3531,                0.86449,                0.79475,                0.87279,                0.49793,                 1.4691,                0.88945,                 1.3461,               0.009406,               0.009406,               0.009406
                     11,                 1.3831,                0.83132,                 1.3398,                0.88615,                0.82828,                 0.9122,                0.53711,                  1.409,                0.85309,                 1.3491,                0.00934,                0.00934,                0.00934
