                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7532,                 2.6051,                 1.5584,                0.53926,                0.40848,                0.43342,                0.19744,                 2.0077,                 2.1131,                 1.7855,               0.070092,              0.0033231,              0.0033231
                      1,                 1.6197,                 1.5381,                 1.4601,                0.64719,                0.45472,                0.49939,                0.23315,                  1.953,                 1.9332,                 1.7983,               0.040079,              0.0066433,              0.0066433
                      2,                 1.6004,                  1.419,                 1.4477,                0.40089,                0.41233,                0.32318,                0.15305,                 1.9343,                 2.2513,                 1.7932,               0.010052,              0.0099502,              0.0099502
                      3,                 1.6201,                 1.3649,                 1.4546,                0.44927,                0.29383,                0.27877,                0.12838,                 2.0084,                 2.7171,                 1.8904,              0.0099406,              0.0099406,              0.0099406
                      4,                 1.5807,                 1.2387,                 1.4273,                0.69945,                0.49037,                0.57922,                0.28783,                 1.9136,                 1.7083,                 1.7227,              0.0099406,              0.0099406,              0.0099406
                      5,                 1.5407,                 1.1432,                 1.4079,                0.69573,                 0.5529,                0.61773,                0.31437,                 1.8152,                 1.6497,                 1.6153,              0.0099208,              0.0099208,              0.0099208
                      6,                 1.5246,                 1.0945,                 1.4002,                0.72222,                0.59056,                0.68346,                 0.3499,                 1.7879,                 1.4475,                 1.5973,               0.009901,               0.009901,               0.009901
                      7,                 1.4933,                 1.0353,                 1.3733,                0.71586,                0.60437,                0.68563,                 0.3582,                 1.7568,                 1.4066,                 1.5921,              0.0098812,              0.0098812,              0.0098812
                      8,                 1.4808,                0.99204,                 1.3677,                0.73282,                0.63154,                0.71718,                0.37764,                  1.743,                 1.3483,                 1.5751,              0.0098614,              0.0098614,              0.0098614
                      9,                 1.4654,                0.96105,                 1.3579,                0.78863,                0.63295,                0.71751,                0.39094,                  1.746,                 1.3347,                 1.5956,              0.0098416,              0.0098416,              0.0098416
                     10,                 1.4538,                0.94005,                 1.3439,                0.77938,                0.67341,                0.76703,                0.41125,                 1.7313,                 1.1932,                 1.5716,              0.0098218,              0.0098218,              0.0098218
                     11,                 1.4377,                0.90343,                 1.3317,                0.70823,                0.59633,                0.65309,                0.34003,                 1.7911,                 1.5171,                 1.5973,               0.009802,               0.009802,               0.009802
                     12,                 1.4183,                 0.8838,                 1.3284,                0.81361,                0.70649,                0.79442,                0.43034,                 1.7029,                 1.1094,                 1.5338,              0.0097822,              0.0097822,              0.0097822
                     13,                 1.4021,                0.86596,                 1.3154,                0.78504,                0.70365,                0.78867,                0.43034,                 1.6523,                 1.1007,                 1.5076,              0.0097624,              0.0097624,              0.0097624
                     14,                 1.4085,                0.85889,                 1.3196,                0.81868,                0.68726,                0.79188,                0.43094,                  1.682,                 1.1274,                 1.5278,              0.0097426,              0.0097426,              0.0097426
                     15,                  1.389,                0.84334,                 1.3081,                0.76927,                0.72254,                0.77351,                0.42424,                 1.6426,                 1.0982,                 1.4901,              0.0097228,              0.0097228,              0.0097228
                     16,                 1.3892,                0.83509,                 1.3033,                0.85648,                0.71484,                 0.8262,                0.45208,                 1.6411,                 1.0117,                 1.4937,               0.009703,               0.009703,               0.009703
                     17,                 1.3785,                0.81382,                 1.3043,                0.80758,                0.69951,                0.79514,                 0.4373,                  1.653,                 1.0754,                  1.514,              0.0096832,              0.0096832,              0.0096832
                     18,                 1.3708,                0.81252,                 1.2978,                0.80945,                0.70392,                0.80774,                 0.4474,                 1.6523,                  1.043,                 1.4775,              0.0096634,              0.0096634,              0.0096634
                     19,                 1.3845,                0.80184,                 1.2961,                0.84496,                 0.7341,                0.83603,                0.46054,                 1.6422,                0.97502,                  1.481,              0.0096436,              0.0096436,              0.0096436
                     20,                 1.3623,                0.78231,                 1.2834,                0.84937,                0.72351,                0.84223,                0.47404,                 1.5911,                0.96592,                 1.4671,              0.0096238,              0.0096238,              0.0096238
                     21,                 1.3542,                0.77533,                 1.2819,                0.85403,                0.74968,                0.84788,                0.47422,                 1.6008,                0.94933,                 1.4548,               0.009604,               0.009604,               0.009604
                     22,                 1.3486,                0.76666,                 1.2771,                0.78581,                 0.7553,                0.83096,                 0.4556,                 1.6212,                 1.0338,                 1.4745,              0.0095842,              0.0095842,              0.0095842
                     23,                 1.3377,                0.76125,                 1.2682,                0.82773,                0.71869,                  0.811,                  0.459,                 1.6076,                 1.0155,                 1.4702,              0.0095644,              0.0095644,              0.0095644
                     24,                 1.3341,                0.74861,                  1.271,                 0.8233,                0.77655,                0.85105,                0.48473,                 1.5805,                0.92785,                 1.4365,              0.0095446,              0.0095446,              0.0095446
                     25,                 1.3265,                0.74197,                 1.2636,                0.85943,                0.75241,                0.84763,                0.48364,                 1.5886,                 0.9383,                 1.4427,              0.0095248,              0.0095248,              0.0095248
                     26,                 1.3293,                 0.7465,                 1.2705,                0.85078,                0.74952,                0.84615,                0.49606,                 1.5551,                0.90763,                 1.4235,               0.009505,               0.009505,               0.009505
                     27,                 1.3257,                 0.7354,                 1.2586,                0.81865,                0.76543,                0.85952,                0.48274,                 1.6013,                0.93339,                 1.4621,              0.0094852,              0.0094852,              0.0094852
                     28,                 1.3175,                0.72641,                 1.2522,                 0.8535,                0.78016,                0.86819,                0.50581,                 1.5257,                 0.8386,                 1.4255,              0.0094654,              0.0094654,              0.0094654
                     29,                 1.3126,                0.71747,                 1.2523,                0.83743,                0.75926,                0.85654,                0.48787,                 1.5619,                0.92835,                 1.4385,              0.0094456,              0.0094456,              0.0094456
                     30,                 1.2998,                0.70584,                 1.2453,                0.82623,                0.79094,                 0.8619,                0.50183,                 1.5462,                0.88262,                 1.4207,              0.0094258,              0.0094258,              0.0094258
                     31,                 1.3044,                0.71101,                 1.2454,                0.84148,                0.75175,                0.85515,                0.49869,                 1.5598,                0.88585,                 1.4204,               0.009406,               0.009406,               0.009406
                     32,                 1.3061,                0.70669,                 1.2483,                0.83289,                0.75863,                0.85723,                0.49478,                 1.5528,                0.86167,                 1.4286,              0.0093862,              0.0093862,              0.0093862
